NorthStar,Business Unit,Service Line,Business Process 1,Business Process 2,Business Process 3,Business KPI 1,Business KPI 2,Business KPI 3,ITKPI 1,ITKPI 2,ITKPI 3
Improves Field Force Utilization,,,Core Operations,Work Management,Work Planning & Scheduling,Asset health index,% of Planned Maintenance Work,Auxiliary Power Consumption,,,
Improves Field Force Utilization,,,Core Operations,Work Management,Work Planning & Scheduling,Asset health index,% of Planned Maintenance Work,Auxiliary Power Consumption,On-Time Completion %,,
Improves Field Force Utilization,,,Core Operations,Work Management,Work Planning & Scheduling,Asset health index,Maintenance Labor Cost as a % of TMC,,,,
Improves Field Force Utilization,,,Core Operations,Work Management,Work Planning & Scheduling,Asset health index,Maintenance Labor Cost as a % of TMC,Earned Value Throughput,,,
Improves Field Force Utilization,,,Core Operations,Work Management,Work Planning & Scheduling,Asset health index,Maintenance Labor Cost as a % of TMC,Earned Value Throughput,On-Time Completion %,,
Improves Field Force Utilization,,,Core Operations,Work Management,Work Planning & Scheduling,Asset health index,Maintenance Labor Cost as a % of TMC,Percentage of Planned Maintenance Work,,,
Improves Field Force Utilization,,,Core Operations,Work Management,Work Planning & Scheduling,Asset health index,Maintenance Labor Cost as a % of TMC,Percentage of Planned Maintenance Work,On-Time Completion %,,
Improves Field Force Utilization,,,Core Operations,Work Management,Work Planning & Scheduling,Asset health index,Average Processing Time,,,,
Improves Field Force Utilization,,,Core Operations,Work Management,Work Planning & Scheduling,Asset health index,Average Processing Time,Mean Time to Repair (MTTR),,,
Improves Field Force Utilization,,,Core Operations,Work Management,Work Planning & Scheduling,Asset health index,Average Processing Time,Mean Time to Repair (MTTR),On-Time Completion %,,
Improves Field Force Utilization,,,Core Operations,Work Management,WM Data Management,,,,,,
Improves Field Force Utilization,,,Core Operations,Work Management,WM Data Management,Asset health index,,,,,
Improves Field Force Utilization,,,Core Operations,Work Management,WM Data Management,Asset health index,% of Planned Maintenance Work,,,,
Improves Field Force Utilization,,,Core Operations,Work Management,WM Data Management,Asset health index,% of Planned Maintenance Work,Total Maintenance Cost (TMC) as a % of Total Operational Cost,,,
Improves Field Force Utilization,,,Core Operations,Work Management,WM Data Management,Asset health index,% of Planned Maintenance Work,Total Maintenance Cost (TMC) as a % of Total Operational Cost,On-Time Completion %,,
Improves Field Force Utilization,,,Core Operations,Work Management,WM Data Management,Asset health index,% of Planned Maintenance Work,PLF i.e. Plant Load Factor,,,
Improves Field Force Utilization,,,Core Operations,Work Management,WM Data Management,Asset health index,% of Planned Maintenance Work,PLF i.e. Plant Load Factor,On-Time Completion %,,
Improves Field Force Utilization,,,Core Operations,Work Management,WM Data Management,Asset health index,% of Planned Maintenance Work,PAF i.e. Plant Availability factor,,,
Improves Field Force Utilization,,,Core Operations,Work Management,WM Data Management,Asset health index,% of Planned Maintenance Work,PAF i.e. Plant Availability factor,On-Time Completion %,,
Improves Field Force Utilization,,,Core Operations,Work Management,WM Data Management,Asset health index,% of Planned Maintenance Work,Auxiliary Power Consumption,,,
Improves Field Force Utilization,,,Core Operations,Work Management,WM Data Management,Asset health index,% of Planned Maintenance Work,Auxiliary Power Consumption,On-Time Completion %,,
Improves Field Force Utilization,,,Core Operations,Work Management,WM Data Management,Asset health index,Maintenance Labor Cost as a % of TMC,,,,
Improves Field Force Utilization,,,Core Operations,Work Management,WM Data Management,Asset health index,Maintenance Labor Cost as a % of TMC,Earned Value Throughput,,,
Improves Field Force Utilization,,,Core Operations,Work Management,WM Data Management,Asset health index,Maintenance Labor Cost as a % of TMC,Earned Value Throughput,On-Time Completion %,,
Improves Field Force Utilization,,,Core Operations,Work Management,WM Data Management,Asset health index,Maintenance Labor Cost as a % of TMC,Percentage of Planned Maintenance Work,,,
Improves Field Force Utilization,,,Core Operations,Work Management,WM Data Management,Asset health index,Maintenance Labor Cost as a % of TMC,Percentage of Planned Maintenance Work,On-Time Completion %,,
Improves Field Force Utilization,,,Core Operations,Work Management,WM Data Management,Asset health index,Average Processing Time,,,,
Improves Field Force Utilization,,,Core Operations,Work Management,WM Data Management,Asset health index,Average Processing Time,Mean Time to Repair (MTTR),,,
Improves Field Force Utilization,,,Core Operations,Work Management,WM Data Management,Asset health index,Average Processing Time,Mean Time to Repair (MTTR),On-Time Completion %,,
Improves Field Force Utilization,,,Core Operations,Work Management,Work Identification,,,,,,
Improves Field Force Utilization,,,Core Operations,Work Management,Work Identification,Asset health index,,,,,
Improves Field Force Utilization,,,Core Operations,Work Management,Work Identification,Asset health index,% of Planned Maintenance Work,,,,
Improves Field Force Utilization,,,Core Operations,Work Management,Work Identification,Asset health index,% of Planned Maintenance Work,Total Maintenance Cost (TMC) as a % of Total Operational Cost,,,
Improves Field Force Utilization,,,Core Operations,Work Management,Work Identification,Asset health index,% of Planned Maintenance Work,Total Maintenance Cost (TMC) as a % of Total Operational Cost,On-Time Completion %,,
Improves Field Force Utilization,,,Core Operations,Work Management,Work Identification,Asset health index,% of Planned Maintenance Work,PLF i.e. Plant Load Factor,,,
Improves Field Force Utilization,,,Core Operations,Work Management,Work Identification,Asset health index,% of Planned Maintenance Work,PLF i.e. Plant Load Factor,On-Time Completion %,,
Improves Field Force Utilization,,,Core Operations,Work Management,Work Identification,Asset health index,% of Planned Maintenance Work,PAF i.e. Plant Availability factor,,,
Improves Field Force Utilization,,,Core Operations,Work Management,Work Identification,Asset health index,% of Planned Maintenance Work,PAF i.e. Plant Availability factor,On-Time Completion %,,
Improves Field Force Utilization,,,Core Operations,Work Management,Work Identification,Asset health index,% of Planned Maintenance Work,Auxiliary Power Consumption,,,
Improves Field Force Utilization,,,Core Operations,Work Management,Work Identification,Asset health index,% of Planned Maintenance Work,Auxiliary Power Consumption,On-Time Completion %,,
Improves Field Force Utilization,,,Core Operations,Work Management,Work Identification,Asset health index,Maintenance Labor Cost as a % of TMC,,,,
Improves Field Force Utilization,,,Core Operations,Work Management,Work Identification,Asset health index,Maintenance Labor Cost as a % of TMC,Earned Value Throughput,,,
Improves Field Force Utilization,,,Core Operations,Work Management,Work Identification,Asset health index,Maintenance Labor Cost as a % of TMC,Earned Value Throughput,On-Time Completion %,,
Improves Field Force Utilization,,,Core Operations,Work Management,Work Identification,Asset health index,Maintenance Labor Cost as a % of TMC,Percentage of Planned Maintenance Work,,,
Improves Field Force Utilization,,,Core Operations,Work Management,Work Identification,Asset health index,Maintenance Labor Cost as a % of TMC,Percentage of Planned Maintenance Work,On-Time Completion %,,
Improves Field Force Utilization,,,Core Operations,Work Management,Work Identification,Asset health index,Average Processing Time,,,,
Improves Field Force Utilization,,,Core Operations,Work Management,Work Identification,Asset health index,Average Processing Time,Mean Time to Repair (MTTR),,,
Improves Field Force Utilization,,,Core Operations,Work Management,Work Identification,Asset health index,Average Processing Time,Mean Time to Repair (MTTR),On-Time Completion %,,
Improves Revenue Losses,,,,,,,,,,,
Improves Revenue Losses,,,Provide Management Process & Support Services,,,,,,,,
Improves Revenue Losses,,,Provide Management Process & Support Services,Training,,,,,,,
Improves Revenue Losses,,,Provide Management Process & Support Services,Training,Training model defination,,,,,,
Improves Revenue Losses,,,Provide Management Process & Support Services,Training,Training model defination,Total Training Cost Per FTE,,,,,
Improves Revenue Losses,,,Provide Management Process & Support Services,Training,Training model defination,Total Training Cost Per FTE,Training penetration rate,,,,
Improves Revenue Losses,,,Provide Management Process & Support Services,Training,Training model defination,Total Training Cost Per FTE,Training penetration rate,,% errors in mandatory trainings ,,
Improves Revenue Losses,,,Provide Management Process & Support Services,IT/Business Systems,,,,,,,
Improves Revenue Losses,,,Provide Management Process & Support Services,IT/Business Systems,Provide IT Governance,,,,,,
Improves Revenue Losses,,,Provide Management Process & Support Services,IT/Business Systems,Provide IT Governance,IT Cost Per Function,,,,,
Improves Revenue Losses,,,Provide Management Process & Support Services,IT/Business Systems,Provide IT Governance,IT Cost Per Function,IT to Total Employees Ratio,,,,
Improves Revenue Losses,,,Provide Management Process & Support Services,IT/Business Systems,Provide IT Governance,IT Cost Per Function,IT to Total Employees Ratio,,Reopened Tickets,,
Improves Revenue Losses,,,Provide Management Process & Support Services,IT/Business Systems,Provide IT Governance,IT Cost Per Function,Business Impact Analysis (BIA) Coverage,,,,
Improves Revenue Losses,,,Provide Management Process & Support Services,IT/Business Systems,Provide IT Governance,IT Cost Per Function,Business Impact Analysis (BIA) Coverage,Uptime of ERP systems,,,
Improves Revenue Losses,,,Provide Management Process & Support Services,IT/Business Systems,Provide IT Governance,IT Cost Per Function,Business Impact Analysis (BIA) Coverage,Uptime of ERP systems,Reopened Tickets,,
Improves Revenue Losses,,,Provide Management Process & Support Services,Loss Prevention,,,,,,,
Improves Revenue Losses,,,Provide Management Process & Support Services,Loss Prevention,Provide Fire Protection,,,,,,
Improves Revenue Losses,,,Provide Management Process & Support Services,Loss Prevention,Provide Fire Protection,Total Number Of Incident Recorded,,,,,
Improves Revenue Losses,,,Provide Management Process & Support Services,Loss Prevention,Provide Fire Protection,Total Number Of Incident Recorded,Personnel Error Rate,,,,
Improves Revenue Losses,,,Provide Management Process & Support Services,Loss Prevention,Provide Fire Protection,Total Number Of Incident Recorded,Personnel Error Rate,Fire Precursor Events,,,
Improves Revenue Losses,,,Provide Management Process & Support Services,Loss Prevention,Provide Fire Protection,Total Number Of Incident Recorded,Personnel Error Rate,Fire Precursor Events,Incident Response Time,,
Improves Revenue Losses,,,Provide Management Process & Support Services,Loss Prevention,Provide Fire Protection,Total Number Of Incident Recorded,Personnel Error Rate,Procedure Noncompliance Rate,,,
Improves Revenue Losses,,,Provide Management Process & Support Services,Loss Prevention,Provide Fire Protection,Total Number Of Incident Recorded,Personnel Error Rate,Procedure Noncompliance Rate,Incident Response Time,,
Improves Revenue Losses,,,Provide Management Process & Support Services,Loss Prevention,Provide Fire Protection,Total Number Of Incident Recorded,Personnel Error Rate,Fire Drills successfully conducted,,,
Improves Revenue Losses,,,Provide Management Process & Support Services,Loss Prevention,Provide Fire Protection,Total Number Of Incident Recorded,Personnel Error Rate,Fire Drills successfully conducted,Incident Response Time,,
Improves Revenue Losses,,,Provide Management Process & Support Services,Environment health and safety,,,,,,,
Improves Revenue Losses,,,Provide Management Process & Support Services,Environment health and safety,Hazardous Substance Management,,,,,,
Improves Revenue Losses,,,Provide Management Process & Support Services,Environment health and safety,Hazardous Substance Management,Number of Incident Reported,,,,,
Improves Revenue Losses,,,Provide Management Process & Support Services,Environment health and safety,Hazardous Substance Management,Number of Incident Reported,Lost Time Incident Ratio,,,,
Improves Revenue Losses,,,Provide Management Process & Support Services,Environment health and safety,Hazardous Substance Management,Number of Incident Reported,Lost Time Incident Ratio,% of hazardous operational waste,,,
Improves Revenue Losses,,,Provide Management Process & Support Services,Environment health and safety,Hazardous Substance Management,Number of Incident Reported,Lost Time Incident Ratio,% of hazardous operational waste,Lost time Injury Frequency Rate,,
Improves Revenue Losses,,,Provide Management Process & Support Services,Environment health and safety,Hazardous Substance Management,Number of Incident Reported,Safety attitude scores,,,,
Improves Revenue Losses,,,Provide Management Process & Support Services,Environment health and safety,Hazardous Substance Management,Number of Incident Reported,Safety attitude scores,,Lost time Injury Frequency Rate,,
Improves Revenue Losses,,,Provide Management Process & Support Services,Finance and Accounting Systems,,,,,,,
Improves Revenue Losses,,,Provide Management Process & Support Services,Finance and Accounting Systems,Provide Financial Reporting,,,,,,
Improves Revenue Losses,,,Provide Management Process & Support Services,Finance and Accounting Systems,Provide Financial Reporting,Account Receivable Turnover,,,,,
Improves Revenue Losses,,,Provide Management Process & Support Services,Finance and Accounting Systems,Provide Financial Reporting,Account Receivable Turnover,"Accounts Receivable, Days",,,,
Improves Revenue Losses,,,Provide Management Process & Support Services,Finance and Accounting Systems,Provide Financial Reporting,Account Receivable Turnover,"Accounts Receivable, Days",High risk/High value project ratio,,,
Improves Revenue Losses,,,Provide Management Process & Support Services,Finance and Accounting Systems,Provide Financial Reporting,Account Receivable Turnover,"Accounts Receivable, Days",High risk/High value project ratio,% of key risk monitored & mitigated,,
Improves Revenue Losses,,,Provide Management Process & Support Services,Finance and Accounting Systems,Provide Financial Reporting,Account Receivable Turnover,"Accounts Receivable, Days",% of payable invoices without purchase order,,,
Improves Revenue Losses,,,Provide Management Process & Support Services,Finance and Accounting Systems,Provide Financial Reporting,Account Receivable Turnover,"Accounts Receivable, Days",% of payable invoices without purchase order,Average Time To Process An Invoice,,
Improves Revenue Losses,,,Provide Management Process & Support Services,Finance and Accounting Systems,Provide Financial Reporting,Account Receivable Turnover,"Accounts Receivable, Days",Net accounts receivable as % of assets,,,
Improves Revenue Losses,,,Provide Management Process & Support Services,Finance and Accounting Systems,Provide Financial Reporting,Account Receivable Turnover,"Accounts Receivable, Days",Net accounts receivable as % of assets,Average Time To Approve An Invoice,,
Improves Revenue Losses,,,Provide Management Process & Support Services,Finance and Accounting Systems,Provide Financial Reporting,Account Receivable Turnover,"Accounts Receivable, Days",% of overdue invoices,,,
Improves Revenue Losses,,,Provide Management Process & Support Services,Finance and Accounting Systems,Provide Financial Reporting,Account Receivable Turnover,"Accounts Receivable, Days",% of overdue invoices,Invoice Cycle Time,,
Improves Revenue Losses,,,Provide Management Process & Support Services,HR/Leadership & Culture,,,,,,,
Improves Revenue Losses,,,Provide Management Process & Support Services,HR/Leadership & Culture,HR Management,,,,,,
Improves Revenue Losses,,,Provide Management Process & Support Services,HR/Leadership & Culture,HR Management,Total Training Cost,,,,,
Improves Revenue Losses,,,Provide Management Process & Support Services,HR/Leadership & Culture,HR Management,Total Training Cost,Development plan completion %,,,,
Improves Revenue Losses,,,Provide Management Process & Support Services,HR/Leadership & Culture,HR Management,Total Training Cost,Development plan completion %,,% of Access issues due to HR interfaces failure,,
Improves Revenue Losses,,,Central Market Operations,,,,,,,,
Improves Revenue Losses,,,Central Market Operations,Manage Customer Interactions,,,,,,,
Improves Revenue Losses,,,Central Market Operations,Manage Customer Interactions,Manage customer enquiries ,,,,,,
Improves Revenue Losses,,,Central Market Operations,Manage Customer Interactions,Manage customer enquiries ,Customer Satisfaction Index,,,,,
Improves Revenue Losses,,,Central Market Operations,Manage Customer Interactions,Manage customer enquiries ,Customer Satisfaction Index,Debt-equity ratio (ratio),,,,
Improves Revenue Losses,,,Central Market Operations,Manage Customer Interactions,Manage customer enquiries ,Customer Satisfaction Index,Debt-equity ratio (ratio),RAROC (Risk- Adjusted Return on Capital),,,
Improves Revenue Losses,,,Central Market Operations,Manage Customer Interactions,Manage customer enquiries ,Customer Satisfaction Index,Debt-equity ratio (ratio),RAROC (Risk- Adjusted Return on Capital),% of license and maintenance costs that are charged back to other parts of the business,,
Improves Revenue Losses,,,Central Market Operations,Manage Customer Interactions,Manage customer enquiries ,Customer Satisfaction Index,Debt-equity ratio (ratio),Return on Assets,,,
Improves Revenue Losses,,,Central Market Operations,Manage Customer Interactions,Manage customer enquiries ,Customer Satisfaction Index,Debt-equity ratio (ratio),Return on Assets,% of license and maintenance costs that are charged back to other parts of the business,,
Improves Revenue Losses,,,Central Market Operations,Manage Customer Interactions,Manage customer enquiries ,Customer Satisfaction Index,Debt-equity ratio (ratio),Total Return on Portfolio,,,
Improves Revenue Losses,,,Central Market Operations,Manage Customer Interactions,Manage customer enquiries ,Customer Satisfaction Index,Debt-equity ratio (ratio),Total Return on Portfolio,% of license and maintenance costs that are charged back to other parts of the business,,
Improves Revenue Losses,,,Central Market Operations,Manage Customer Interactions,Manage customer enquiries ,Customer Satisfaction Index,Debt-equity ratio (ratio),,Unscheduled Downtime,,
Improves Revenue Losses,,,Central Market Operations,Manage Customer Interactions,Manage customer enquiries ,Customer Satisfaction Index,Dividends to Shareholders,,,,
Improves Revenue Losses,,,Central Market Operations,Manage Customer Interactions,Manage customer enquiries ,Customer Satisfaction Index,Dividends to Shareholders,,% of opened tickets,,
Improves Revenue Losses,,,Central Market Operations,Manage Customer Interactions,Manage customer enquiries ,Customer Satisfaction Index,Average call waiting time,,,,
Improves Revenue Losses,,,Central Market Operations,Manage Customer Interactions,Manage customer enquiries ,Customer Satisfaction Index,Average call waiting time,,Average Handling Time,,
Improves Revenue Losses,,,Central Market Operations,Manage Customer Interactions,Manage customer enquiries ,Customer Satisfaction Index,Return on capital employed (%) (ROCE),,,,
Improves Revenue Losses,,,Central Market Operations,Manage Customer Interactions,Manage customer enquiries ,Customer Satisfaction Index,Return on capital employed (%) (ROCE),,Unscheduled Downtime,,
Improves Revenue Losses,,,Central Market Operations,Manage Stakeholders Affairs,,,,,,,
Improves Revenue Losses,,,Central Market Operations,Manage Stakeholders Affairs,manage regulatory relationship,,,,,,
Improves Revenue Losses,,,Central Market Operations,Manage Stakeholders Affairs,manage regulatory relationship,Customer Satisfaction Index,,,,,
Improves Revenue Losses,,,Central Market Operations,Manage Stakeholders Affairs,manage regulatory relationship,Customer Satisfaction Index,Debt-equity ratio (ratio),,,,
Improves Revenue Losses,,,Central Market Operations,Manage Stakeholders Affairs,manage regulatory relationship,Customer Satisfaction Index,Debt-equity ratio (ratio),RAROC (Risk- Adjusted Return on Capital),,,
Improves Revenue Losses,,,Central Market Operations,Manage Stakeholders Affairs,manage regulatory relationship,Customer Satisfaction Index,Debt-equity ratio (ratio),RAROC (Risk- Adjusted Return on Capital),% of license and maintenance costs that are charged back to other parts of the business,,
Improves Revenue Losses,,,Central Market Operations,Manage Stakeholders Affairs,manage regulatory relationship,Customer Satisfaction Index,Debt-equity ratio (ratio),Return on Assets,,,
Improves Revenue Losses,,,Central Market Operations,Manage Stakeholders Affairs,manage regulatory relationship,Customer Satisfaction Index,Debt-equity ratio (ratio),Return on Assets,% of license and maintenance costs that are charged back to other parts of the business,,
Improves Revenue Losses,,,Central Market Operations,Manage Stakeholders Affairs,manage regulatory relationship,Customer Satisfaction Index,Debt-equity ratio (ratio),Total Return on Portfolio,,,
Improves Revenue Losses,,,Central Market Operations,Manage Stakeholders Affairs,manage regulatory relationship,Customer Satisfaction Index,Debt-equity ratio (ratio),Total Return on Portfolio,% of license and maintenance costs that are charged back to other parts of the business,,
Improves Revenue Losses,,,Central Market Operations,Manage Stakeholders Affairs,manage regulatory relationship,Customer Satisfaction Index,Debt-equity ratio (ratio),,Unscheduled Downtime,,
Improves Revenue Losses,,,Central Market Operations,Manage Stakeholders Affairs,manage regulatory relationship,Customer Satisfaction Index,Dividends to Shareholders,,,,
Improves Revenue Losses,,,Central Market Operations,Manage Stakeholders Affairs,manage regulatory relationship,Customer Satisfaction Index,Dividends to Shareholders,,% of opened tickets,,
Improves Revenue Losses,,,Central Market Operations,Manage Stakeholders Affairs,manage regulatory relationship,Customer Satisfaction Index,Average call waiting time,,,,
Improves Revenue Losses,,,Central Market Operations,Manage Stakeholders Affairs,manage regulatory relationship,Customer Satisfaction Index,Average call waiting time,,Average Handling Time,,
Improves Revenue Losses,,,Central Market Operations,Manage Stakeholders Affairs,manage regulatory relationship,Customer Satisfaction Index,Return on capital employed (%) (ROCE),,,,
Improves Revenue Losses,,,Central Market Operations,Manage Stakeholders Affairs,manage regulatory relationship,Customer Satisfaction Index,Return on capital employed (%) (ROCE),,Unscheduled Downtime,,
Improves Revenue Losses,,,Central Market Operations,Provide Corporate Services,,,,,,,
Improves Revenue Losses,,,Central Market Operations,Provide Corporate Services,Manage finance & credit,,,,,,
Improves Revenue Losses,,,Central Market Operations,Provide Corporate Services,Manage finance & credit,Customer Satisfaction Index,,,,,
Improves Revenue Losses,,,Central Market Operations,Provide Corporate Services,Manage finance & credit,Customer Satisfaction Index,Debt-equity ratio (ratio),,,,
Improves Revenue Losses,,,Central Market Operations,Provide Corporate Services,Manage finance & credit,Customer Satisfaction Index,Debt-equity ratio (ratio),RAROC (Risk- Adjusted Return on Capital),,,
Improves Revenue Losses,,,Central Market Operations,Provide Corporate Services,Manage finance & credit,Customer Satisfaction Index,Debt-equity ratio (ratio),RAROC (Risk- Adjusted Return on Capital),% of license and maintenance costs that are charged back to other parts of the business,,
Improves Revenue Losses,,,Central Market Operations,Provide Corporate Services,Manage finance & credit,Customer Satisfaction Index,Debt-equity ratio (ratio),Return on Assets,,,
Improves Revenue Losses,,,Central Market Operations,Provide Corporate Services,Manage finance & credit,Customer Satisfaction Index,Debt-equity ratio (ratio),Return on Assets,% of license and maintenance costs that are charged back to other parts of the business,,
Improves Revenue Losses,,,Central Market Operations,Provide Corporate Services,Manage finance & credit,Customer Satisfaction Index,Debt-equity ratio (ratio),Total Return on Portfolio,,,
Improves Revenue Losses,,,Central Market Operations,Provide Corporate Services,Manage finance & credit,Customer Satisfaction Index,Debt-equity ratio (ratio),Total Return on Portfolio,% of license and maintenance costs that are charged back to other parts of the business,,
Improves Revenue Losses,,,Central Market Operations,Provide Corporate Services,Manage finance & credit,Customer Satisfaction Index,Debt-equity ratio (ratio),,Unscheduled Downtime,,
Improves Revenue Losses,,,Central Market Operations,Provide Corporate Services,Manage finance & credit,Customer Satisfaction Index,Dividends to Shareholders,,,,
Improves Revenue Losses,,,Central Market Operations,Provide Corporate Services,Manage finance & credit,Customer Satisfaction Index,Dividends to Shareholders,,% of opened tickets,,
Improves Revenue Losses,,,Central Market Operations,Provide Corporate Services,Manage finance & credit,Customer Satisfaction Index,Average call waiting time,,,,
Improves Revenue Losses,,,Central Market Operations,Provide Corporate Services,Manage finance & credit,Customer Satisfaction Index,Average call waiting time,,Average Handling Time,,
Improves Revenue Losses,,,Central Market Operations,Provide Corporate Services,Manage finance & credit,Customer Satisfaction Index,Return on capital employed (%) (ROCE),,,,
Improves Revenue Losses,,,Central Market Operations,Provide Corporate Services,Manage finance & credit,Customer Satisfaction Index,Return on capital employed (%) (ROCE),,Unscheduled Downtime,,
Improves Revenue Losses,,,Core Operations,,,,,,,,
Improves Revenue Losses,,,Core Operations,Supply Chain,,,,,,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Integrated Material & Service Planning,,,,,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Integrated Material & Service Planning,Asset health index,,,,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Integrated Material & Service Planning,Asset health index,Total Inventory Days,,,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Integrated Material & Service Planning,Asset health index,Total Inventory Days,Procurement Cycle Time,,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Integrated Material & Service Planning,Asset health index,Total Inventory Days,Procurement Cycle Time,% of issues due to user access/password related ,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Integrated Material & Service Planning,Asset health index,Total Inventory Days,Procurement Cycle Time,Downtime in Proportion to Operating Time,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Integrated Material & Service Planning,Asset health index,Total Inventory Days,Obsolescence as % of Gross Inventory,,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Integrated Material & Service Planning,Asset health index,Total Inventory Days,Obsolescence as % of Gross Inventory,% of issues due to user access/password related ,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Integrated Material & Service Planning,Asset health index,Total Inventory Days,Demand Forecasting Accuracy,,,
